XYDATA;GAGG_medium_300nm.jws
858,0000;-0,993657
858,5000;-0,932386
859,0000;-0,777091
859,5000;-0,876058
860,0000;-0,891038
860,5000;-0,919824
861,0000;-0,976293
861,5000;-0,981423
862,0000;-0,901316
862,5000;-0,979871
863,0000;-0,957514
863,5000;-0,924079
864,0000;-0,954842
864,5000;-0,957438
865,0000;-0,959815
865,5000;-0,936372
866,0000;-0,937824
866,5000;-0,891078
867,0000;-0,961138
867,5000;-0,959496
868,0000;-1,00308
868,5000;-1,03214
869,0000;-0,995631
869,5000;-0,897423
870,0000;-0,913996
870,5000;-0,962934
871,0000;-0,937659
871,5000;-0,993534
872,0000;-0,849902
872,5000;-0,943804
873,0000;-0,919436
873,5000;-0,859148
874,0000;-0,920487
874,5000;-0,989701
875,0000;-0,983997
875,5000;-0,954136
876,0000;-0,929506
876,5000;-0,8364
877,0000;-0,980964
877,5000;-0,936651
878,0000;-0,998981
878,5000;-0,921468
879,0000;-0,928994
879,5000;-0,983
880,0000;-0,952038
880,5000;-0,98062
881,0000;-0,994915
881,5000;-0,808238
882,0000;-0,873622
882,5000;-0,959863
883,0000;-0,954507
883,5000;-0,962895
884,0000;-0,973289
884,5000;-0,937025
885,0000;-0,987562
885,5000;-0,922783
886,0000;-0,935215
886,5000;-0,923551
887,0000;-0,872545
887,5000;-0,861505
888,0000;-0,908264
888,5000;-0,99892
889,0000;-0,95101
889,5000;-0,857847
890,0000;-0,901912
890,5000;-0,934329
891,0000;-0,959983
891,5000;-0,985745
892,0000;-1,02299
892,5000;-0,869006
893,0000;-1,02301
893,5000;-0,927793
894,0000;-0,847904
894,5000;-0,907239
895,0000;-0,935356
895,5000;-0,970907
896,0000;-0,88712
896,5000;-0,801253
897,0000;-0,98278
897,5000;-0,942086
898,0000;-0,861705
898,5000;-0,960385
899,0000;-0,906972
899,5000;-0,931876
900,0000;-0,833956
