XYDATA;BSO.jws
801,0000;8,29386
801,5000;10,972
802,0000;11,5779
802,5000;12,8463
803,0000;10,457
803,5000;10,2363
804,0000;8,9933
804,5000;9,41792
805,0000;10,2922
805,5000;10,9756
806,0000;7,9172
806,5000;8,71214
807,0000;9,41469
807,5000;9,04814
808,0000;9,38313
808,5000;8,93465
809,0000;10,3209
809,5000;9,48387
810,0000;8,57541
810,5000;8,03973
811,0000;8,03823
811,5000;9,73907
812,0000;6,62142
812,5000;7,54529
813,0000;7,46586
813,5000;8,04746
814,0000;8,08989
814,5000;8,14135
815,0000;8,69159
815,5000;8,70464
816,0000;9,37167
816,5000;6,88469
817,0000;7,83031
817,5000;8,24014
818,0000;5,99739
818,5000;7,03179
819,0000;7,18485
819,5000;6,64929
820,0000;6,40275
820,5000;6,61081
821,0000;7,25639
821,5000;5,44104
822,0000;6,811
822,5000;6,42923
823,0000;7,46809
823,5000;6,91378
824,0000;7,52468
824,5000;5,74436
825,0000;6,16831
825,5000;5,63921
826,0000;5,70912
826,5000;6,24351
827,0000;5,54994
827,5000;5,15086
828,0000;7,03525
828,5000;4,35628
829,0000;4,56286
829,5000;5,38025
830,0000;4,76424
830,5000;2,74052
831,0000;3,07309
831,5000;3,94898
832,0000;3,92951
832,5000;3,15317
833,0000;5,86653
833,5000;5,21649
834,0000;3,22728
834,5000;3,3757
835,0000;3,59472
835,5000;3,5605
836,0000;3,32899
836,5000;3,28343
837,0000;4,27568
837,5000;2,88009
838,0000;3,03616
838,5000;3,17661
839,0000;3,57327
839,5000;3,13835
840,0000;2,45073
840,5000;2,37738
841,0000;2,5326
841,5000;3,22751
842,0000;2,24563
842,5000;3,12081
843,0000;2,97252
843,5000;3,37982
844,0000;2,90984
844,5000;2,61081
845,0000;3,97569
845,5000;1,8641
846,0000;2,61563
846,5000;2,70008
847,0000;1,9061
847,5000;2,71613
848,0000;2,16541
848,5000;2,74179
849,0000;2,33822
849,5000;2,34947
850,0000;3,1982
850,5000;3,00722
851,0000;2,73555
851,5000;1,85051
852,0000;2,06102
852,5000;1,57324
853,0000;2,71297
853,5000;3,32033
854,0000;1,53978
854,5000;2,51827
855,0000;1,65679
855,5000;2,88604
856,0000;2,85823
856,5000;2,45782
857,0000;2,6722
857,5000;1,46249
858,0000;1,80915
858,5000;2,02296
859,0000;1,74782
859,5000;1,98186
860,0000;2,76745
860,5000;3,06534
861,0000;1,94624
861,5000;1,91102
862,0000;2,58772
862,5000;2,6808
863,0000;2,6697
863,5000;2,37284
864,0000;2,32539
864,5000;1,75523
865,0000;0,859121
865,5000;2,25348
866,0000;1,58848
866,5000;1,58661
867,0000;1,36637
867,5000;1,57548
868,0000;2,16687
868,5000;1,89532
869,0000;3,14307
869,5000;1,96987
870,0000;1,78843
870,5000;2,69903
871,0000;1,36048
871,5000;4,14732
872,0000;1,94317
872,5000;2,38338
873,0000;1,71988
873,5000;1,59119
874,0000;2,4087
874,5000;2,05896
875,0000;0,613907
875,5000;0,898511
876,0000;1,86848
876,5000;2,8751
877,0000;1,52346
877,5000;1,0704
878,0000;2,3683
878,5000;2,1911
879,0000;1,8112
879,5000;1,13968
880,0000;1,73666
880,5000;1,0193
881,0000;2,15119
881,5000;2,30439
882,0000;1,11126
882,5000;2,56886
883,0000;0,93566
883,5000;2,32949
884,0000;2,17293
884,5000;3,20825
885,0000;2,92322
885,5000;1,66587
886,0000;2,52582
886,5000;3,33449
887,0000;1,62791
887,5000;3,3628
888,0000;1,32411
888,5000;1,3513
889,0000;2,63461
889,5000;2,03403
890,0000;1,6674
890,5000;1,36494
891,0000;2,50147
891,5000;1,84865
892,0000;3,40627
892,5000;1,39999
893,0000;2,53904
893,5000;2,13465
894,0000;1,43155
894,5000;2,32387
895,0000;2,05745
895,5000;1,39886
896,0000;2,98542
896,5000;2,04888
897,0000;2,8212
897,5000;3,84471
898,0000;1,93031
898,5000;2,13685
899,0000;2,28787
899,5000;2,39619
900,0000;2,84067
